編,章,種類,名前,知の指定,考の指定,関連問題,回数,正解数,最終実施日,コメント
電磁気,27,応用問題,応用問題476 振動回路とばねの振動,0,1,,0,0,,
電磁気,27,基本問題,基本問題466 リアクタンス,0,1,,0,0,,
電磁気,27,基本問題,基本問題467 交流回路,0,1,,0,0,,
電磁気,27,基本問題,基本問題468 交流回路,0,1,,0,0,,
電磁気,27,基本問題,基本問題469 交流回路,0,1,,0,0,,
電磁気,27,基本問題,基本問題470 共振回路,0,1,,0,0,,
電磁気,27,基本問題,基本問題471 電気振動,0,1,,0,0,,
電磁気,27,基本問題,基本問題472 電磁波,0,1,,0,0,,
原子,28,基本例題,基本例題94 電場による電子の偏向,1,0,,0,0,,
原子,28,基本問題,基本問題477 放電,0,1,,0,0,,
原子,28,応用問題,応用問題495 電子の比電荷,0,1,,0,0,,
原子,28,基本例題,基本例題95 磁場による電子の偏向,1,0,,0,0,,
原子,28,基本問題,基本問題478 陰極線と磁場,0,1,,0,0,,
原子,28,応用問題,応用問題496 電子の運動の重力の影響,0,1,,0,0,,
原子,28,基本例題,基本例題96 光電効果,1,0,,0,0,,
原子,28,基本問題,基本問題479 電場と磁場による電子の偏向,0,1,,0,0,,
原子,28,応用問題,応用問題497 光の圧力,0,1,,0,0,,
原子,28,基本例題,基本例題97 Ｘ線の発生と性質,1,0,,0,0,,
原子,28,基本問題,基本問題480 磁場による電子の偏向,0,1,,0,0,,
原子,28,応用問題,応用問題498 光電効果,0,1,,0,0,,
原子,28,基本例題,基本例題98 電子線の回折,1,0,,0,0,,
原子,28,基本問題,基本問題481 ミリカンの実験,0,1,,0,0,,
原子,28,応用問題,応用問題499 コンプトン効果,0,1,,0,0,,
原子,28,基本問題,基本問題482 ミリカンの実験,0,1,,0,0,,
原子,28,応用問題,応用問題500 Ｘ線と電子線の回折,0,1,,0,0,,
原子,28,基本問題,基本問題483 電気素量,0,1,,0,0,,
原子,28,基本問題,基本問題484 光電効果,0,1,,0,0,,
原子,28,基本問題,基本問題485 光電効果,0,1,,0,0,,
原子,28,基本問題,基本問題486 光電効果のグラフ,0,1,,0,0,,
原子,28,基本問題,基本問題487 光電効果の阻止電圧,0,1,,0,0,,
原子,28,基本問題,基本問題488 電場による加速,0,1,,0,0,,
原子,28,基本問題,基本問題489 X線の発生,0,1,,0,0,,
原子,28,基本問題,基本問題490 X線回折,0,1,,0,0,,
原子,28,基本問題,基本問題491 光の粒子性,0,1,,0,0,,
原子,28,基本問題,基本問題492 コンプトン効果,0,1,,0,0,,
原子,28,基本問題,基本問題493 電子波,0,1,,0,0,,
原子,28,基本問題,基本問題494 電子波,0,1,,0,0,,
原子,29,基本例題,基本例題99 水素原子の構造,1,0,,0,0,,
原子,29,基本問題,基本問題501 水素原子のエネルギー準位,0,1,,0,0,,
原子,29,応用問題,応用問題516 水素原子のスペクトル,0,1,,0,0,,
原子,29,基本例題,基本例題100 放射性崩壊,1,0,,0,0,,
原子,29,基本問題,基本問題502 原子番号Ｚの原子のモデル,0,1,,0,0,,
原子,29,応用問題,応用問題517 α崩壊,0,1,,0,0,,
原子,29,基本例題,基本例題101 半減期,1,0,,0,0,,
原子,29,基本問題,基本問題503 原子量,0,1,,0,0,,
原子,29,応用問題,応用問題518 年代測定,0,1,,0,0,,
原子,29,基本例題,基本例題102 原子核反応と核エネルギー,1,0,,0,0,,
原子,29,基本問題,基本問題504 質量分析器,0,1,,0,0,,
原子,29,応用問題,応用問題519 核反応における保存則,0,1,,0,0,,
原子,29,基本例題,基本例題103 核分裂,1,0,,0,0,,
原子,29,基本問題,基本問題505 放射性崩壊と放射線,0,1,,0,0,,
原子,29,応用問題,応用問題520 中性子と核分裂,0,1,,0,0,,
原子,29,基本例題,基本例題104 結合エネルギー,1,0,,0,0,,
原子,29,基本問題,基本問題506 放射性崩壊,0,1,,0,0,,
原子,29,応用問題,応用問題521 原子核反応,0,1,,0,0,,
原子,29,基本問題,基本問題507 半減期,0,1,,0,0,,
原子,29,応用問題,応用問題522 β＋崩壊，電子対消滅,0,1,,0,0,,
原子,29,基本問題,基本問題508 １４Ｃと年代測定,0,1,,0,0,,
原子,29,基本問題,基本問題509 放射性崩壊と半減期,0,1,,0,0,,
原子,29,基本問題,基本問題510 結合エネルギー,0,1,,0,0,,
原子,29,基本問題,基本問題511 原子核反応とβ崩壊,0,1,,0,0,,
原子,29,基本問題,基本問題512 原子核の崩壊とエネルギー保存則,0,1,,0,0,,
原子,29,基本問題,基本問題513 核分裂,0,1,,0,0,,
原子,29,基本問題,基本問題514 核融合,0,1,,0,0,,
原子,29,基本問題,基本問題515 クォーク模型,0,1,,0,0,,
原子,30,基本例題,基本例題105 発電方式,1,0,,0,0,,
原子,30,基本問題,基本問題523 エネルギーの変換,0,1,,0,0,,
原子,30,基本例題,基本例題106 水力発電,1,0,,0,0,,
原子,30,基本問題,基本問題524 発電方式,0,1,,0,0,,
原子,30,基本問題,基本問題525 太陽光発電,0,1,,0,0,,
原子,30,基本問題,基本問題526 原子核,0,1,,0,0,,
原子,30,基本問題,基本問題527 核反応,0,1,,0,0,,
原子,30,基本問題,基本問題528 放射線,0,1,,0,0,,
原子,30,基本問題,基本問題529 放射線,0,1,,0,0,,
原子,30,基本問題,基本問題530 放射線,0,1,,0,0,,
原子,30,基本問題,基本問題531 エネルギー資源の利用,0,1,,0,0,,
原子,30,基本問題,基本問題532 半減期,0,1,,0,0,,
